"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.551253600E-2,-8.442399979E0,-3.318399811E1,-4.188259888E1,5.409809550E1
1.055125360E-1,-8.442399979E0,-3.318399811E1,-4.188259888E1,5.409809550E1
1.168843060E-1,-8.332599640E0,-3.278139877E1,-4.163859940E1,5.364536589E1
1.268843060E-1,-8.137399673E0,-3.281800079E1,-4.108959961E1,5.321272071E1
1.368843060E-1,-8.003199577E0,-3.301319885E1,-4.073579788E1,5.304081194E1
1.468843060E-1,-8.003199577E0,-3.278139877E1,-4.091880035E1,5.303790655E1
1.568843060E-1,-8.381400108E0,-3.257399750E1,-4.137019730E1,5.331797450E1
1.668843060E-1,-8.625399590E0,-3.234220123E1,-4.177280045E1,5.352926635E1
1.768843060E-1,-8.649800301E0,-3.212260056E1,-4.172399902E1,5.336265179E1
1.868843060E-1,-8.430199623E0,-3.208599854E1,-4.130920029E1,5.298140802E1
1.968843060E-1,-8.247200012E0,-3.220800018E1,-4.108959961E1,5.285571662E1
2.068843060E-1,-8.259399414E0,-3.217139816E1,-4.105299759E1,5.280686650E1
2.168843060E-1,-8.332599640E0,-3.201279831E1,-4.123600006E1,5.286453607E1
2.268843060E-1,-8.356999397E0,-3.202499771E1,-4.099200058E1,5.268570991E1
2.368843060E-1,-8.015399933E0,-3.209819794E1,-4.050399780E1,5.229832488E1
2.468843060E-1,-7.698199749E0,-3.212260056E1,-4.001599884E1,5.188837933E1
2.568843060E-1,-7.527400017E0,-3.211040115E1,-3.978419876E1,5.167709439E1
2.668843060E-1,-7.649399757E0,-3.196399879E1,-3.983300018E1,5.164182839E1
2.768843060E-1,-7.685999870E0,-3.187859917E1,-3.960120010E1,5.141570508E1
2.868843060E-1,-7.661599636E0,-3.186639977E1,-3.949139786E1,5.131995760E1
2.968843060E-1,-7.490799904E0,-3.186639977E1,-3.906439972E1,5.096672289E1
3.068843060E-1,-7.258999825E0,-3.189079857E1,-3.912540054E1,5.099522605E1
3.168843060E-1,-7.051599979E0,-3.197620010E1,-3.927180099E1,5.113195467E1
3.268843060E-1,-6.868599892E0,-3.219580078E1,-3.921080017E1,5.119798924E1
3.368843060E-1,-6.831999779E0,-3.234220123E1,-3.934499741E1,5.138796574E1
3.468843060E-1,-6.783199787E0,-3.242760086E1,-3.956459808E1,5.160347390E1
3.568843060E-1,-6.758800030E0,-3.248859787E1,-3.979639816E1,5.181644214E1
3.668843060E-1,-6.783199787E0,-3.245199966E1,-4.015019989E1,5.206901797E1
3.768843060E-1,-7.002799988E0,-3.223239899E1,-4.073579788E1,5.241537924E1
3.868843060E-1,-7.381000042E0,-3.211040115E1,-4.078459930E1,5.243034011E1
3.968843060E-1,-7.844599724E0,-3.174440002E1,-4.089439774E1,5.236025634E1
4.068843060E-1,-8.222800255E0,-3.142720032E1,-4.107740021E1,5.237018399E1
4.168843060E-1,-8.356999397E0,-3.128079987E1,-4.086999893E1,5.214100778E1
4.268843060E-1,-8.661999702E0,-3.107339859E1,-4.093099976E1,5.211461484E1
4.368843060E-1,-8.930399895E0,-3.096360016E1,-4.121159744E1,5.231531650E1
4.468843060E-1,-8.930399895E0,-3.085379982E1,-4.105299759E1,5.212540280E1
