"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.158175000E-2,-5.989238739E0,8.204965591E0,-5.065111923E1,5.165973597E1
6.163075000E-2,-5.870166779E0,8.056138992E0,-5.064586258E1,5.161747407E1
7.167875000E-2,-5.857387543E0,8.089787483E0,-5.060715485E1,5.158330904E1
8.172675000E-2,-5.927513123E0,8.122233391E0,-5.044240189E1,5.143483251E1
9.177575000E-2,-5.898860931E0,8.198906898E0,-5.057550430E1,5.157422098E1
1.018237500E-1,-5.858264923E0,7.821705341E0,-5.049016953E1,5.142718698E1
1.118717500E-1,-5.737178802E0,7.866814137E0,-5.040839767E1,5.134012604E1
1.219207500E-1,-5.765506744E0,7.889717102E0,-5.054677963E1,5.148267316E1
1.319687500E-1,-5.912082672E0,8.087712288E0,-5.059682846E1,5.157909326E1
1.420167500E-1,-5.913551331E0,8.142993927E0,-5.059011459E1,5.158137391E1
1.520657500E-1,-5.875926971E0,8.172984123E0,-5.057211304E1,5.156416201E1
1.621137500E-1,-5.802089691E0,8.188299179E0,-5.078503799E1,5.176709932E1
1.721617500E-1,-5.797920227E0,8.192056656E0,-5.032685471E1,5.131781344E1
1.822107500E-1,-5.808620453E0,8.044592857E0,-5.049374771E1,5.145944135E1
1.922587500E-1,-5.846019745E0,8.223028183E0,-5.034300232E1,5.134405537E1
2.023067500E-1,-5.803424835E0,8.067183495E0,-5.048139191E1,5.145026840E1
2.123557500E-1,-5.831451416E0,8.122753143E0,-5.057894135E1,5.155787284E1
2.224037500E-1,-5.945487976E0,8.164363861E0,-5.044779968E1,5.144886935E1
2.324517500E-1,-5.984691620E0,8.132040024E0,-5.038906860E1,5.139070775E1
2.425007500E-1,-5.930721283E0,8.260960579E0,-5.040910721E1,5.142465376E1
2.525487500E-1,-5.790100098E0,8.319276810E0,-5.052370834E1,5.153038648E1
2.625967500E-1,-5.840530396E0,8.290093422E0,-5.064136124E1,5.164673186E1
2.726457500E-1,-5.717418671E0,8.192472458E0,-5.043908310E1,5.141893217E1
2.826937500E-1,-5.881225586E0,8.329650879E0,-5.038637924E1,5.140777287E1
2.927417500E-1,-5.882369995E0,8.327223778E0,-5.026351929E1,5.128709685E1
3.027907500E-1,-5.766307831E0,8.407616615E0,-5.047289658E1,5.149224808E1
3.128387500E-1,-5.738887787E0,8.392683983E0,-5.053637314E1,5.154897659E1
3.228867500E-1,-5.870666504E0,8.437217712E0,-5.038151932E1,5.141934322E1
3.329357500E-1,-5.849563599E0,8.466354370E0,-5.029171753E1,5.133374526E1
3.429837500E-1,-5.874557495E0,8.393474579E0,-5.010471344E1,5.114140348E1
3.530317500E-1,-5.932441711E0,8.422574997E0,-5.013616562E1,5.118367647E1
3.630807500E-1,-6.117141724E0,8.512433052E0,-5.040513611E1,5.148357685E1
3.731287500E-1,-6.142116547E0,8.699498177E0,-5.013822556E1,5.125669250E1
3.831777500E-1,-6.207832336E0,8.670497894E0,-5.028599548E1,5.140424163E1
3.932257500E-1,-6.308807373E0,8.744441032E0,-5.011610794E1,5.126295519E1
4.032744583E-1,-6.368350983E0,8.750618935E0,-5.049580383E1,5.164257382E1
4.133234583E-1,-6.404945374E0,8.700460434E0,-5.061287689E1,5.175311241E1
4.233714583E-1,-6.539794922E0,8.738767624E0,-5.022224045E1,5.139463409E1
4.334194583E-1,-6.657760620E0,8.798683167E0,-5.005533600E1,5.125699234E1
4.434684583E-1,-6.786064148E0,8.857336044E0,-5.031207275E1,5.153452952E1
4.535164583E-1,-6.824764252E0,8.797333717E0,-5.038949585E1,5.160495887E1
4.635644583E-1,-6.901840210E0,8.938461304E0,-5.016692734E1,5.142229173E1
4.736134583E-1,-7.174671173E0,9.155685425E0,-4.976542664E1,5.110675269E1
4.836614583E-1,-7.265945435E0,9.233032227E0,-5.000402451E1,5.136579907E1
4.937094583E-1,-7.429855347E0,9.279693604E0,-4.987995148E1,5.127694436E1
5.037584583E-1,-7.515815735E0,9.269351959E0,-5.005122757E1,5.145419082E1
5.138064583E-1,-7.768894196E0,9.639462471E0,-5.011230850E1,5.161897342E1
5.238544583E-1,-8.050292969E0,9.701834679E0,-5.002756119E1,5.159156609E1
5.339034583E-1,-8.035083771E0,9.760728836E0,-5.019861984E1,5.176616494E1
5.439514583E-1,-8.210693359E0,9.978802681E0,-4.990292740E1,5.154894908E1
5.539994583E-1,-8.169612885E0,9.786144257E0,-4.998937607E1,5.158923254E1
5.640484583E-1,-8.129199982E0,9.769452095E0,-4.987075043E1,5.146472418E1
5.740964583E-1,-8.322223663E0,9.952424049E0,-4.972577667E1,5.139030081E1
5.841444583E-1,-8.264167786E0,9.850748062E0,-4.971795273E1,5.135375868E1
5.941934583E-1,-8.488647461E0,1.003873253E1,-4.975968552E1,5.146707286E1
6.042414583E-1,-8.608489990E0,1.001959991E1,-4.950131607E1,5.123357078E1
